,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Avery Bradley 2015,1.584,-4.628,1.286,3.871,-3.854,1.461,2.126,-2.686,0.141,-1.247,-2.013,0.498,3.333,-0.966,-0.429,0.172,1.758,-0.006,-0.041,0.102,0.472,0.829,1.133,-0.315
Corey Brewer 2015,0.251,-0.223,0.228,-0.279,-0.464,-1.296,0.215,-0.925,2.638,-0.493,-0.945,0.402,0.226,-1.261,0.723,0.168,-0.611,1.495,0.917,-1.009,-0.048,-0.311,0.596,-0.847
Aaron Brooks 2015,0.790,-4.937,-1.954,-1.557,-0.852,-1.308,-2.447,-0.020,-1.287,0.591,0.296,-0.096,0.254,0.691,-0.776,-1.004,0.119,0.111,1.272,-1.182,-0.495,-0.893,0.484,-0.164
Jabari Brown 2015,-5.264,-1.833,-2.099,0.610,2.328,-2.950,2.413,-1.161,1.168,0.699,-0.674,-1.389,-1.142,-0.791,-0.090,-0.931,-0.258,0.046,-2.003,0.132,0.332,0.316,0.220,-0.084
Lorenzo Brown 2015,-6.588,-0.603,-4.059,-1.001,0.584,1.499,0.257,1.395,0.786,-0.149,-0.863,0.136,0.189,0.223,-0.379,0.505,-0.824,-0.903,-0.974,-0.385,1.032,0.286,-0.094,-0.396
Markel Brown 2015,-6.435,-0.492,-1.583,0.157,-0.324,0.651,1.032,-0.695,1.598,0.283,0.609,1.064,-0.356,0.090,-0.795,0.193,0.014,0.396,-0.771,0.396,0.634,0.177,-0.453,0.158
Kobe Bryant 2015,3.782,-4.182,-5.818,1.855,2.189,-2.182,4.381,1.870,-0.495,-0.068,-0.453,0.885,-0.058,-1.641,1.469,-0.814,0.309,0.549,0.382,0.082,1.573,-1.160,-0.409,0.917
Chase Budinger 2015,-4.250,-0.654,0.782,1.132,0.403,-0.223,-0.308,-0.892,0.938,-0.568,-0.117,0.282,-0.862,-0.035,0.419,0.851,0.061,0.520,-0.223,-0.252,0.423,-0.531,0.139,0.900
Trey Burke 2015,1.033,-6.368,-1.957,0.714,-2.215,-0.937,-0.325,-0.352,-0.538,-0.260,0.237,1.052,1.464,1.050,-1.611,0.812,0.124,0.639,0.112,0.138,-0.244,0.290,0.390,0.755
Alec Burks 2015,-2.131,-1.147,-3.323,0.072,2.018,-2.570,2.668,-0.143,0.193,-0.262,0.145,-0.340,-0.503,-0.082,-0.882,-1.245,0.558,-0.991,-1.679,0.340,-0.010,0.731,0.022,-0.195
Caron Butler 2015,-4.728,-2.485,2.708,1.754,-0.690,1.820,0.453,-0.878,-1.328,-0.883,-0.137,0.479,-0.948,-0.278,0.075,-1.027,0.189,1.198,-0.267,-0.139,0.673,0.094,0.039,-0.317
Jimmy Butler 2015,9.040,-0.985,0.715,0.013,2.441,1.994,1.641,-3.299,2.292,0.419,-0.212,1.459,-2.013,0.193,-0.542,-1.174,-0.391,0.647,-1.387,0.237,-0.397,0.666,-0.457,0.225
Rasual Butler 2015,-3.408,-2.011,2.495,2.402,0.424,0.958,-0.104,-0.638,-0.550,-0.740,1.316,0.383,0.665,-1.002,0.572,-0.203,0.134,0.337,0.793,-0.114,0.621,-0.824,-0.264,0.169
Nick Calathes 2015,-4.646,-0.211,-3.640,-3.020,-0.742,3.088,-0.752,1.290,2.415,0.877,-0.013,1.527,-0.565,-0.741,0.541,0.853,1.106,0.525,0.769,-0.349,-0.718,0.627,0.230,-0.950
José Calderón 2015,-4.150,-3.837,-1.558,1.373,0.021,0.541,1.524,0.185,-1.309,-2.056,-0.708,-1.153,1.491,-0.431,1.680,-0.690,0.201,0.394,-1.537,-0.259,0.291,-0.476,-0.001,0.459
Kentavious Caldwell-Pope 2015,0.918,-4.205,2.706,0.642,-3.329,-0.778,0.127,-1.387,0.987,1.016,-1.424,1.187,0.279,0.353,0.084,0.622,-0.666,0.297,0.128,0.217,-0.118,0.738,-0.112,0.442
Isaiah Canaan 2015,-4.331,-5.028,-1.184,-1.711,1.980,-3.020,1.508,2.163,0.081,-0.100,-0.204,0.406,1.641,0.983,-0.961,-0.940,0.210,-0.726,-1.051,-0.434,0.192,-0.098,0.375,-2.123
DeMarre Carroll 2015,2.554,-0.990,4.601,-1.587,-0.059,0.388,-0.749,-0.445,1.535,-1.454,-1.588,0.829,-0.583,-0.894,0.137,-0.329,-0.204,-0.447,-0.687,-0.476,0.383,-0.005,-0.087,0.204
Vince Carter 2015,-5.050,-3.169,-0.003,-0.107,-0.709,0.684,0.382,0.992,-0.524,-0.351,1.455,2.156,-0.325,0.002,-0.603,-1.563,-0.033,1.044,2.187,-0.401,0.529,-0.527,-0.998,-0.301
Michael Carter-Williams 2015,2.850,-2.003,-7.108,-1.397,-2.120,-1.843,2.014,2.662,0.851,-0.374,-0.709,-1.150,0.282,-0.263,1.103,0.953,0.651,1.313,0.105,0.158,0.386,0.448,0.200,-0.129
Omri Casspi 2015,-1.500,1.699,-0.782,-1.818,1.076,-2.776,-1.634,-1.141,1.016,-0.669,1.919,-0.364,-0.552,-2.070,1.337,0.192,1.155,-0.787,-0.269,0.354,-0.961,0.788,1.425,0.790
Mario Chalmers 2015,0.821,-3.263,-2.010,-3.184,-3.405,0.651,-0.863,-0.420,-0.044,0.769,-1.736,-0.830,-2.115,-1.320,-0.614,-1.523,0.874,-0.339,0.340,-0.468,0.731,-0.662,0.439,-0.444
Tyson Chandler 2015,5.006,10.013,2.922,-3.274,1.803,0.814,1.413,-3.289,-3.062,-1.934,-0.651,-0.383,0.158,1.978,1.378,-1.160,-2.195,-0.121,-0.717,0.135,1.039,-0.042,0.257,0.721
Wilson Chandler 2015,2.823,-1.575,2.786,-0.312,-2.822,-2.703,-0.655,0.995,-0.472,-0.640,-0.042,0.531,0.549,0.205,0.627,-0.363,0.468,-1.095,0.806,0.483,-0.332,-0.014,-0.649,0.016
Jordan Clarkson 2015,0.181,-1.879,-3.364,-0.015,0.941,-0.305,-0.136,-1.092,0.806,-0.190,-0.453,-0.355,0.609,1.267,-0.047,0.132,0.311,-0.384,0.292,0.943,-0.433,-0.080,0.151,0.718
Norris Cole 2015,-4.329,-2.997,-2.983,0.723,-1.121,1.239,0.698,-0.171,0.305,-0.713,-0.342,-0.071,0.881,0.644,-0.245,-0.066,-0.548,0.734,-0.370,-0.048,0.347,0.528,0.569,-0.291
Darren Collison 2015,1.720,-4.370,-3.355,-1.574,2.269,1.231,1.757,-0.761,0.592,-0.232,-1.249,-1.060,0.896,0.796,0.369,-1.184,-0.605,-0.461,-0.283,1.026,-0.207,-0.103,1.094,0.950
Nick Collison 2015,-4.469,3.120,0.664,-0.376,-0.629,1.423,0.924,-0.225,-0.710,-1.145,0.249,0.201,-0.621,-1.564,0.315,-0.455,0.780,0.209,0.110,-0.644,-1.328,-1.660,-1.464,0.174
Mike Conley 2015,4.899,-4.862,-1.886,-1.845,0.818,0.976,-1.359,-0.367,0.274,-0.275,-0.307,0.113,0.137,0.055,-0.699,-0.398,0.035,0.110,-0.351,-0.035,-0.338,0.281,-0.340,0.156
Chris Copeland 2015,-6.340,-1.786,-0.673,-0.165,-0.683,-2.615,0.746,1.006,-0.957,-0.505,2.237,0.065,0.278,-0.579,0.136,-0.249,-0.155,0.140,1.035,0.004,-0.442,0.534,-0.942,-0.639
DeMarcus Cousins 2015,13.732,6.014,-3.342,-0.502,-0.883,-0.747,5.944,1.008,0.958,-0.871,0.048,-1.714,-1.466,-0.800,-1.367,-0.566,1.518,0.216,0.866,0.476,0.278,-0.997,0.671,-0.267
Robert Covington 2015,1.543,-3.396,3.697,-3.205,-1.645,-1.010,1.591,0.652,0.483,1.105,-0.951,0.946,-0.848,-0.826,-0.366,0.189,0.671,-0.155,0.272,-0.234,-0.460,-0.443,0.499,0.214
Allen Crabbe 2015,-7.495,0.057,2.691,0.076,0.895,1.452,-0.271,-0.735,2.415,0.472,0.773,-0.770,1.063,-1.486,1.238,1.402,1.259,0.377,-2.318,0.835,0.035,-1.968,-0.813,-0.922
Jamal Crawford 2015,2.105,-5.861,-0.599,2.317,1.740,-0.419,-0.154,-0.430,-0.471,0.740,0.304,1.682,0.315,-1.654,-1.255,-1.314,1.056,0.133,0.786,-0.450,0.665,-0.882,0.607,0.113
Jae Crowder 2015,-1.121,0.032,1.449,0.767,0.476,1.191,1.301,-0.418,1.459,-0.055,-0.635,1.071,-0.883,0.743,-0.239,0.290,0.326,0.187,-0.099,0.265,0.530,-0.353,-0.496,-0.553
Dante Cunningham 2015,-4.141,2.369,-0.223,4.265,-1.979,3.496,2.365,-2.676,0.162,-1.263,-0.911,0.257,1.454,-0.552,-0.199,0.149,0.351,1.162,-0.424,1.671,0.257,-0.057,-0.247,0.767
Stephen Curry 2015,14.142,-9.388,3.683,-4.123,3.349,3.377,-1.466,0.282,-0.778,-0.631,-2.047,1.274,1.246,-0.602,-0.884,1.978,0.962,0.522,-0.329,-0.276,-1.717,0.761,0.192,0.007
Samuel Dalembert 2015,-5.273,6.053,-2.436,0.800,0.207,0.960,1.823,3.185,-2.606,2.155,-0.455,0.506,0.935,-0.778,0.572,0.613,-2.042,0.086,0.431,-0.337,0.014,0.205,-0.557,1.059
Anthony Davis 2015,16.479,6.776,0.781,4.962,2.602,4.673,2.620,-1.074,3.892,1.757,2.439,0.070,2.044,1.185,-2.165,-0.518,-0.926,1.120,-1.160,0.122,0.142,-0.212,0.377,-0.791
Ed Davis 2015,2.172,8.584,0.801,-3.316,0.416,-0.823,-1.452,-1.751,-0.354,0.942,0.175,1.543,2.083,2.107,0.430,-0.906,0.936,0.383,-0.226,-0.193,-0.409,-1.414,0.030,0.149
Glen Davis 2015,-4.680,4.463,-1.209,0.416,-0.495,1.094,-0.425,-1.370,-0.452,1.155,-1.060,2.077,-0.475,-2.898,-0.184,0.512,0.292,0.465,0.685,0.199,0.142,-0.386,-1.329,-0.991
Dewayne Dedmon 2015,-4.437,8.020,-0.183,-1.570,0.119,-0.756,0.323,-0.170,-2.890,1.235,-1.458,-0.129,0.440,-0.274,-0.356,0.827,0.285,-0.243,0.366,-0.325,-1.019,0.274,0.132,0.712
Matthew Dellavedova 2015,-5.293,-3.527,-1.071,-0.654,-1.632,-0.830,-1.633,0.932,-1.660,-0.382,1.100,0.114,-0.624,1.068,-1.656,-0.773,-0.176,-0.674,-1.388,-0.704,-1.656,-0.041,0.062,-1.063
Luol Deng 2015,2.931,-0.552,1.021,1.474,0.144,-0.394,0.109,-1.679,0.110,-1.258,0.027,0.264,-0.434,-0.604,0.524,-0.394,0.334,-0.155,-0.424,-0.005,0.907,0.677,-1.077,0.871
DeMar DeRozan 2015,6.574,-2.081,-4.977,4.495,0.377,-0.212,2.137,-2.645,1.284,1.168,0.450,0.318,-1.709,-1.266,1.050,-0.498,0.896,-0.565,-0.753,0.807,0.384,-0.160,-0.054,0.299
Boris Diaw 2015,0.185,0.850,0.073,0.795,-1.108,-0.311,-2.942,1.461,-0.737,-1.737,0.650,-0.803,-0.577,-1.134,0.147,0.210,0.199,1.157,0.829,-0.139,-0.401,0.555,-0.479,-0.584
Gorgui Dieng 2015,3.712,6.634,-0.571,0.693,-1.188,1.605,0.386,0.537,-0.650,2.228,0.232,-1.316,-1.713,2.114,-0.189,-1.200,-0.469,-0.108,-1.024,-0.766,0.171,-0.503,0.029,1.842
Joey Dorsey 2015,-4.840,6.578,-1.291,-4.175,-0.803,-0.035,0.227,-1.371,-1.672,1.346,0.780,3.224,0.509,-2.307,1.849,-0.200,1.526,-1.279,0.076,-1.420,-0.767,0.645,0.553,-0.492
Goran Dragić 2015,2.650,-2.453,-1.604,-0.249,0.932,-1.253,-0.807,-0.897,1.263,-0.447,-1.164,-1.024,1.485,0.846,2.236,-0.516,-1.315,-0.476,0.155,-1.187,-0.388,-0.199,-0.775,-0.591
Andre Drummond 2015,9.045,12.440,0.864,-3.736,-4.466,-4.157,0.429,-0.225,0.424,-0.862,1.060,3.004,2.308,2.427,-0.559,-0.847,0.208,0.508,-0.481,-0.570,0.151,-2.486,-0.516,0.153
Jared Dudley 2015,-2.325,-1.779,2.505,1.156,-0.044,3.550,0.433,-0.564,0.143,-0.693,-1.243,-0.116,-1.217,0.548,0.306,0.003,-0.633,0.676,0.076,-0.003,-0.462,0.115,0.098,-0.005
Tim Duncan 2015,9.454,7.868,0.688,1.053,0.218,2.344,-1.810,2.752,1.394,-1.067,3.266,-0.531,0.120,-1.965,-1.067,-1.700,-0.736,2.253,-0.151,0.254,-0.037,0.145,0.604,0.860
Mike Dunleavy 2015,-1.983,-2.621,3.907,0.358,-0.140,0.607,1.371,-0.072,-1.282,-1.721,0.472,-0.101,0.293,-1.314,-0.026,-1.071,-0.620,-0.245,-0.419,0.011,-0.343,0.940,-0.578,-0.063
Kevin Durant 2015,5.293,-1.243,0.207,0.694,8.478,-0.009,2.875,2.495,1.372,1.047,-0.284,-1.326,0.130,0.866,1.294,0.395,0.322,-0.086,-0.433,1.138,-0.009,-0.110,-0.248,0.295
Cleanthony Early 2015,-6.913,-0.282,-1.515,0.421,-0.814,-1.233,1.715,0.063,0.819,0.777,-0.481,0.030,-0.600,0.892,0.233,0.313,0.536,1.824,0.292,0.571,0.313,0.423,-0.307,-0.059
Wayne Ellington 2015,-2.968,-3.495,0.394,3.096,-0.445,-0.522,1.198,-1.741,-0.661,-1.446,-0.093,0.946,1.487,0.747,0.299,0.382,-0.032,0.456,-0.083,0.698,-0.026,-0.334,0.033,0.787
Monta Ellis 2015,7.561,-5.111,-3.516,1.625,-3.167,1.667,0.411,-2.300,1.767,-0.099,-2.039,0.593,2.016,-1.878,-0.151,-0.872,0.997,0.326,1.860,0.133,0.530,0.393,-0.195,-0.028
James Ennis 2015,-5.339,0.951,0.827,-0.713,0.736,-0.393,0.735,-1.863,0.100,-0.200,0.387,-0.136,-1.054,0.496,-0.663,0.190,0.270,0.986,-0.542,-0.195,-0.816,-0.506,0.074,0.497
Reggie Evans 2015,-4.603,6.082,-2.328,-1.597,1.309,-1.197,1.545,0.171,-3.611,-2.480,-0.701,1.885,-2.087,-3.435,-1.245,0.923,-3.875,-3.296,0.322,-0.377,0.754,1.118,2.725,1.399
Tyreke Evans 2015,6.986,-1.985,-3.433,-4.070,-2.456,-1.189,0.548,-1.227,-0.044,-1.855,-0.356,-1.246,1.228,0.361,0.120,0.816,-0.795,0.824,1.379,-0.517,0.024,0.418,-2.020,-0.307
Dante Exum 2015,-5.725,-3.625,-0.144,-1.946,-3.985,-0.946,-0.608,-0.296,-0.441,0.287,1.681,-1.543,1.374,-1.008,1.030,1.774,0.011,-0.817,-0.419,1.220,-1.189,-0.458,0.173,-0.242
Festus Ezeli 2015,-4.205,7.189,-1.307,-1.471,2.826,-1.438,-1.252,0.052,-1.481,3.308,0.770,1.153,1.394,-0.592,-0.282,-0.152,2.476,0.399,0.097,-0.050,-0.718,1.455,0.119,0.302
Kenneth Faried 2015,5.002,7.438,-0.757,-1.573,-1.443,-2.646,-1.155,-1.041,0.335,-1.141,-1.085,1.341,0.001,0.415,-0.224,-0.798,-0.727,0.314,-0.548,0.212,0.088,-0.896,0.745,0.140
Jordan Farmar 2015,-7.367,-3.771,-1.777,-1.220,1.008,0.762,0.908,0.446,0.318,-0.769,1.198,-0.041,1.083,1.248,-0.211,-0.875,-1.059,0.027,0.619,0.621,-0.726,-0.302,0.779,-0.848
Derrick Favors 2015,8.665,6.760,0.172,2.508,-0.520,0.889,0.455,-0.788,1.801,1.603,1.025,-0.991,-0.330,1.637,0.392,-0.350,-1.901,-0.101,-0.328,-0.721,-0.950,-1.156,-0.683,-0.074
Evan Fournier 2015,-1.886,-2.619,0.065,-0.834,-0.128,-2.530,0.654,-1.668,0.650,-0.276,-0.301,-0.349,0.399,-0.273,0.278,0.328,-0.426,-0.539,-0.230,0.270,-1.023,-0.141,-0.256,0.088
Randy Foye 2015,-4.585,-4.791,0.365,-1.070,0.346,-0.970,0.665,0.928,-0.452,-0.217,0.483,0.179,0.986,0.267,0.062,-1.229,0.142,0.437,0.855,0.786,-0.852,-0.790,-0.380,0.002
Jimmer Fredette 2015,-7.538,-1.343,-3.575,0.759,0.729,-0.468,-1.448,-0.539,0.194,0.249,0.676,0.179,-0.421,-0.004,-0.972,0.002,0.083,0.360,-0.465,-0.059,1.170,0.282,0.208,-0.304
Joel Freeland 2015,-5.429,5.329,-1.010,2.330,1.322,0.932,-0.398,0.644,-2.361,0.463,-1.007,1.328,0.448,-0.123,-0.603,0.813,0.295,-0.601,-0.255,0.889,0.306,-0.170,-1.226,-0.369
Channing Frye 2015,-3.299,-3.090,3.854,-0.090,-2.620,-0.042,1.251,2.169,-2.700,-0.739,1.066,0.380,-0.347,-0.316,-1.625,-1.054,0.611,-0.988,0.353,-0.834,0.250,0.913,-1.792,-0.989
Danilo Gallinari 2015,-0.342,-2.812,2.347,-0.334,2.424,-0.579,1.631,-0.491,-0.105,0.154,0.482,0.770,-0.758,0.518,-0.889,-0.280,0.667,0.127,0.688,1.260,-0.207,0.361,-0.307,0.301
Langston Galloway 2015,-1.831,-2.861,-1.527,0.492,-1.414,-0.409,2.579,0.157,0.516,-0.662,-1.585,0.535,1.144,0.846,-0.698,-0.731,-0.086,-0.765,-1.038,0.034,0.023,-0.234,0.463,-0.358
Kevin Garnett 2015,-2.150,2.769,-1.941,3.603,0.047,4.451,3.923,1.960,-1.079,-2.664,-0.759,1.785,-0.575,-0.879,0.677,-0.380,1.030,-0.377,0.700,0.295,0.967,0.554,-0.136,0.092
Marc Gasol 2015,12.725,4.781,-1.521,4.978,-0.452,3.816,-0.946,0.980,0.432,1.428,2.671,-0.477,-0.864,-1.548,-0.704,-0.991,-0.629,1.454,-1.218,0.607,-1.257,0.127,0.775,-1.360
Pau Gasol 2015,12.495,6.055,0.004,6.341,-0.344,1.791,1.227,0.742,-0.881,-2.170,4.238,-0.585,0.439,0.616,-0.899,-1.055,-0.666,1.447,-0.719,-0.686,-0.259,0.779,1.018,0.262
Rudy Gay 2015,8.809,-1.464,-2.440,1.964,1.000,-1.487,-0.881,0.588,0.166,0.651,0.512,0.101,-1.390,-0.526,-0.390,-1.081,0.409,-0.063,-0.157,0.587,-0.551,0.220,-0.279,0.620
Alonzo Gee 2015,-5.856,0.699,-1.857,-2.729,2.422,0.300,1.321,-1.976,2.285,-0.018,1.739,1.124,-0.421,-0.751,0.369,-0.533,-0.544,-1.510,1.024,-1.035,-1.838,1.158,0.398,0.806
Taj Gibson 2015,1.608,6.467,-0.731,0.727,0.228,-0.129,-0.130,-1.225,-0.513,1.285,-0.837,0.602,0.650,0.114,-0.086,-0.990,-2.311,0.214,-0.480,-0.918,0.099,-1.338,-0.350,-0.666
Manu Ginóbili 2015,0.665,-2.596,-0.527,-3.025,0.803,0.815,-0.843,1.262,-0.755,-0.031,0.256,-0.385,-0.964,-1.652,0.638,-0.633,0.907,1.880,0.917,-1.314,0.041,-0.963,0.195,-0.356
Rudy Gobert 2015,4.710,10.480,1.424,-6.937,0.357,1.281,1.656,-1.624,-1.071,2.238,4.399,0.920,2.995,0.822,-0.484,0.202,-0.074,-0.826,-0.451,-0.282,-0.203,-0.060,0.444,0.816
Drew Gooden 2015,-4.606,0.976,-0.401,2.539,0.023,1.068,2.807,0.103,-1.519,-2.610,0.748,1.789,-0.814,0.986,-1.325,-0.655,0.512,0.340,0.666,-0.769,-1.151,-0.107,-1.232,0.324
Archie Goodwin 2015,-6.244,0.068,-3.503,-1.935,0.359,-1.907,1.719,-1.760,0.970,0.615,1.597,0.330,0.213,-0.129,-0.519,0.727,0.176,-0.123,-0.215,-1.231,-0.900,0.878,0.794,-0.011
Aaron Gordon 2015,-5.417,2.249,-1.073,-0.655,0.281,-0.978,0.828,-0.244,0.799,0.347,1.351,-0.182,-0.014,-0.177,-0.263,1.423,0.213,-1.951,-0.500,-0.212,-0.358,-0.071,-0.829,0.048
Ben Gordon 2015,-5.905,-2.629,-2.745,2.679,1.101,-0.702,-1.460,-0.335,-1.132,-0.549,0.691,-0.032,0.052,-0.235,-0.839,-1.062,1.371,-0.042,-0.191,-0.751,2.141,-0.328,-0.129,-0.155
Eric Gordon 2015,-0.011,-5.272,0.378,-0.506,-1.056,-1.868,0.142,0.520,-1.068,-0.454,-0.596,-0.286,0.465,-0.367,-1.284,-0.790,0.105,-0.346,-0.872,-1.050,-1.087,0.687,-0.340,0.263
Marcin Gortat 2015,6.818,8.245,1.089,1.992,-0.950,0.995,-3.034,0.414,0.306,0.694,0.629,0.639,0.840,1.007,1.777,-0.468,-3.203,0.637,-0.313,0.192,0.504,-0.126,0.163,-1.189
Danny Granger 2015,-6.787,-0.935,0.055,1.388,1.094,-0.924,1.123,0.804,-0.277,-0.466,0.245,-0.373,-0.553,-0.061,0.196,-1.708,0.625,-0.811,-0.230,0.132,0.980,-0.165,-1.392,-0.995
Jerami Grant 2015,-4.147,0.774,0.216,-2.289,-2.470,-1.102,2.756,-0.987,0.119,2.855,1.520,-1.240,-0.911,-0.591,-1.392,0.076,-0.491,1.209,-0.574,-0.307,-0.777,-0.161,0.959,0.502
Danny Green 2015,2.696,-3.326,6.523,-2.432,-0.308,2.668,0.194,1.224,0.026,0.859,0.452,0.798,1.046,-0.226,-1.599,0.110,0.044,0.007,-0.615,-0.668,0.391,0.422,-0.624,0.498
Draymond Green 2015,6.103,1.179,4.637,-3.908,-3.190,2.766,1.164,1.634,0.757,0.010,-0.499,-0.445,-0.275,0.801,-0.320,0.455,-0.847,0.910,-0.202,0.398,-0.168,-0.050,0.304,-0.324
Gerald Green 2015,-0.485,-4.514,1.148,1.589,0.454,-1.108,-0.343,0.100,-0.874,0.960,-0.019,0.391,0.523,0.421,0.645,0.423,0.578,-0.573,2.006,-0.432,0.432,-1.092,0.226,-0.331
Jeff Green 2015,1.050,-0.217,0.043,2.121,1.184,-1.794,-0.442,0.401,1.474,-0.114,0.757,0.696,0.225,-0.965,0.030,-0.790,-0.274,0.696,-0.116,0.085,-0.826,1.115,-0.277,-0.638
Willie Green 2015,-6.638,-2.598,-1.662,0.429,-0.903,-0.585,0.916,-0.604,-0.041,-1.055,1.258,0.394,1.094,-1.057,0.391,-0.932,-0.957,-0.088,0.800,0.106,-0.385,-0.345,0.470,0.092
Blake Griffin 2015,12.311,2.258,-2.604,4.625,0.300,1.274,2.320,-3.409,1.331,-3.656,-0.283,-1.258,1.397,-1.497,-0.360,-0.368,1.592,0.988,-0.394,0.994,-1.986,0.360,0.450,-2.149
P.J. Hairston 2015,-6.912,-1.865,0.578,0.805,-0.320,-1.192,1.235,0.790,0.724,0.670,0.195,1.600,-0.885,1.850,-2.201,-0.120,0.520,1.981,-0.201,-0.449,0.660,0.350,-1.516,-1.438
Tyler Hansbrough 2015,-4.082,5.710,1.145,-0.866,1.979,-0.181,-0.841,-3.052,-0.725,-0.737,-0.973,0.571,-2.975,-1.811,-1.743,-0.946,0.605,-1.243,-0.935,-1.311,0.341,0.217,-0.030,1.111
Tim Hardaway Jr. 2015,-2.148,-4.180,1.185,1.461,-0.584,-3.513,0.615,-1.658,-0.768,0.279,0.198,-0.576,0.889,-0.098,-0.334,0.969,-0.099,0.433,-0.280,0.035,-0.234,-0.711,0.332,0.472
James Harden 2015,17.604,-6.440,0.181,-6.365,3.253,0.814,1.415,-2.438,-1.338,1.835,0.757,0.047,-2.385,-1.006,-1.913,0.126,0.462,0.841,-0.138,1.297,-0.382,-0.067,-0.955,-0.307
Maurice Harkless 2015,-7.355,0.900,-1.715,-2.776,-1.044,-1.054,0.960,-0.928,2.248,0.906,2.235,2.223,0.723,-0.728,1.156,0.666,1.261,-0.827,-0.576,-0.578,-0.844,0.393,-0.657,-0.919
Devin Harris 2015,-1.352,-4.080,0.109,-3.046,0.828,1.389,-1.039,-0.699,0.127,-0.142,0.753,0.406,0.049,-0.897,-0.764,-0.862,0.194,-0.718,0.628,-0.166,-0.160,-1.314,0.285,-0.035
Gary Harris 2015,-8.231,-1.438,-1.711,-0.231,-2.483,0.073,1.017,-0.615,1.640,1.208,-0.087,1.347,-0.915,-0.214,-1.179,0.762,-0.421,1.258,-0.738,-0.196,1.080,0.238,0.108,-1.070
Tobias Harris 2015,4.860,-0.248,0.771,1.379,-0.607,-1.654,0.040,-0.261,1.736,-0.228,0.073,0.147,-0.262,-0.067,0.615,0.664,-0.118,-0.375,-0.092,0.607,0.269,0.673,-0.031,0.407
Udonis Haslem 2015,-4.965,3.459,-1.010,1.905,-0.441,0.656,0.701,-0.769,-1.595,-1.649,0.118,0.569,-0.838,-0.703,0.567,-0.152,0.771,-0.137,-0.195,-1.083,0.874,-0.359,-1.033,0.610
Spencer Hawes 2015,-3.705,1.464,2.186,1.450,-1.988,0.022,0.444,1.575,-0.648,0.854,0.492,-1.287,-0.711,-0.568,-0.848,0.756,0.143,1.060,0.487,0.375,-0.431,-0.322,-0.530,-0.434
Gordon Hayward 2015,8.624,-4.023,-0.879,-1.174,1.202,0.824,0.502,-1.273,0.166,0.376,0.669,0.230,-1.394,-0.811,-0.848,0.458,0.440,-0.161,-0.146,1.258,0.364,1.147,0.204,0.767
Gerald Henderson 2015,2.001,-1.883,-1.860,4.165,-1.526,1.856,0.482,-2.432,-0.326,0.173,1.027,-0.294,0.094,-0.163,0.849,-0.040,-0.026,-0.157,-0.392,0.382,0.101,0.665,-0.230,0.039
John Henson 2015,-0.154,8.461,-0.583,-3.849,0.171,-0.389,-1.036,0.421,0.250,3.805,2.951,-0.014,4.698,-1.894,-1.349,-0.116,0.981,0.100,-0.143,-1.593,-0.160,-0.006,0.596,-0.417
Roy Hibbert 2015,3.720,7.138,-1.420,3.951,-2.468,-0.324,-0.757,2.271,-2.287,1.137,1.776,0.677,1.131,-1.684,-2.969,-1.096,-0.521,-0.134,-0.177,1.592,-0.425,0.306,-0.096,-0.240
J.J. Hickson 2015,-0.867,6.629,-1.590,-0.325,-0.873,-2.222,-0.298,-0.977,-1.241,0.110,-0.723,1.620,-0.840,-0.981,0.230,1.182,-0.544,0.944,0.021,-0.344,0.142,-0.958,0.408,0.231
Nenê 2015,2.203,3.165,-1.980,2.331,-1.599,2.025,1.167,-0.933,0.608,-0.196,-1.083,-0.581,-1.597,-1.013,2.204,-0.431,-0.628,-0.167,0.824,-0.943,-0.453,-0.134,-0.835,-0.601
George Hill 2015,2.336,-3.126,-1.239,-1.429,4.245,1.124,0.059,1.456,0.702,-0.473,-0.402,-0.418,0.901,1.213,-0.083,-1.012,0.294,-1.264,-0.049,1.125,-0.286,-0.447,0.200,-0.485
Jordan Hill 2015,2.967,4.179,-2.235,5.363,-2.012,-0.241,1.607,-0.596,-1.352,-1.765,0.077,0.588,1.511,0.170,0.219,0.212,0.990,-0.488,0.032,0.837,-0.198,-0.883,0.531,0.919
Solomon Hill 2015,-0.321,-1.376,-0.459,-1.541,-2.867,-0.223,-0.321,-1.046,-0.521,0.068,0.809,0.125,-1.390,0.583,-0.655,-0.456,-0.221,-0.730,-0.212,0.237,-0.100,1.297,-1.141,-0.147
Kirk Hinrich 2015,-5.177,-3.113,-0.940,0.243,-2.616,1.084,0.109,0.082,-0.998,-0.901,0.465,-0.087,0.593,-1.090,-0.472,-1.747,0.343,0.318,-0.049,-0.076,0.017,-0.532,-0.005,-0.161
Jrue Holiday 2015,1.624,-3.222,-4.184,-1.337,1.664,1.122,0.085,2.722,1.303,0.368,-1.426,-0.038,1.323,1.543,-0.434,-0.653,0.167,-0.994,-0.608,-0.285,-0.853,-0.447,-1.393,-0.213
Justin Holiday 2015,-6.400,-1.419,0.367,0.190,0.646,2.329,0.585,-0.812,2.113,0.527,-0.637,0.717,-0.849,0.542,-0.931,0.436,-0.106,2.081,0.316,-0.076,0.387,-0.143,0.378,-0.171
